 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-07- 31
Avarai (1 Kg) : ,125.00,2018-07- 31
Amla (1 Kg) : ,45.00,2018-07- 31
Baby corn (1 Kg) : ,80.00,2018-07- 31
Beans (1 Kg) : ,40.00,2018-07- 31
Beetroot (1 Kg) : ,35.00,2018-07- 31
Bittergourd (1 Kg) : ,25.00,2018-07- 31
Brinjal (1 Kg) : ,30.00,2018-07- 31
Brinjal - Big (1 Kg) : ,15.00,2018-07- 31
Brinjal - Green (1 Kg) : ,15.00,2018-07- 31
Butter Beans (1 Kg) : ,60.00,2018-07- 31
Cabbage (1 Kg) : ,08.00,2018-07- 31
Capscicum - Red (1 Kg) :,150.00,2018-07- 31
Capscicum - Green (1 Kg) : ,60.00,2018-07- 31
Carrot (1 Kg) : ,45.00,2018-07- 31
Cauliflower (1 Piece) : ,15.00,2018-07- 31
Chow Chow (1 Kg) : ,40.00,2018-07- 31
Cluster Beans (1 Kg) : ,45.00,2018-07- 31
Coconut (Small) : ,25.00,2018-07- 31
Coconut (Big) : ,35.00,2018-07- 31
Cucumber (1 Kg) : ,30.00,2018-07- 31
Double Beans (1 Kg) : ,170.00,2018-07- 31
Drumstick (1 Kg) : ,20.00,2018-07- 31
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-07- 31
Garlic - Small (Country) (1 Kg) : ,110.00,2018-07- 31
Ginger (1 Kg) : ,120.00,2018-07- 31
Green Peas (1 Kg) : ,60.00,2018-07- 31
Green Chilli (1 Kg) : ,40.00,2018-07- 31
Karunai Kizhangu (1 Kg) : ,50.00,2018-07- 31
Kovakkai (1 Kg) : ,25.00,2018-07- 31
Ladies Fingers (1 Kg) : ,25.00,2018-07- 31
Mango - Raw (1 Kg) : ,30.00,2018-07- 31
Maravalli Kizhangu (1 Kg) : ,40.00,2018-07- 31
Noolkol (1 Kg) : ,25.00,2018-07- 31
Onion - Big (1 Kg) : ,16.00,2018-07- 31
Onion - Small (1 Kg) : ,55.00,2018-07- 31
Onion - White (1 Kg) : ,40.00,2018-07- 31
Peerkankkai (1 Kg) : ,40.00,2018-07- 31
Potato (1 Kg) : ,25.00,2018-07- 31
Potatoes - Baby (1 Kg) : ,55.00,2018-07- 31
Radish (1 Kg) : ,08.00,2018-07- 31
Senaikizhangu (1 Kg) : ,30.00,2018-07- 31
Seppankizhangu (1 Kg) : ,30.00,2018-07- 31
Snake Gourd (1 Kg) : ,20.00,2018-07- 31
Bottle Guard (1 Kg) : ,05.00,2018-07- 31
Tomato - Bangalore (1 Kg) : ,12.00,2018-07- 31
Tomato - Local (1 Kg) : ,15.00,2018-07- 31
Vazhai Poo (1 Piece) : ,20.00,2018-07- 31
Vazhai Thandu (1 Piece) : ,15.00,2018-07- 31
Yellow Pumpkin (1 Kg) : ,05.00,2018-07- 31
