 NAME , PRICE (Rs) , DATE 
    Name,  Price (Rs),2018-06- 20
Avarai (1 Kg) : ,20.00,2018-06- 20
Amla (1 Kg) : ,126.00,2018-06- 20
Baby corn (1 Kg) : ,79.00,2018-06- 20
Beans (1 Kg) : ,60.00,2018-06- 20
Beetroot (1 Kg) : ,25.00,2018-06- 20
Bittergourd (1 Kg) : ,40.00,2018-06- 20
Brinjal (1 Kg) : ,20.00,2018-06- 20
Brinjal - Big (1 Kg) : ,35.00,2018-06- 20
Brinjal - Green (1 Kg) : ,30.00,2018-06- 20
Butter Beans (1 Kg) : ,60.00,2018-06- 20
Cabbage (1 Kg) : ,08.00,2018-06- 20
Capscicum - Red (1 Kg) :,149.00,2018-06- 20
Capscicum - Green (1 Kg) : ,60.00,2018-06- 20
Carrot (1 Kg) : ,22.00,2018-06- 20
Cauliflower (1 Piece) : ,08.00,2018-06- 20
Chow Chow (1 Kg) : ,15.00,2018-06- 20
Cluster Beans (1 Kg) : ,45.00,2018-06- 20
Coconut (Small) : ,25.00,2018-06- 20
Coconut (Big) : ,35.00,2018-06- 20
Cucumber (1 Kg) : ,29.00,2018-06- 20
Double Beans (1 Kg) : ,170.00,2018-06- 20
Drumstick (1 Kg) : ,20.00,2018-06- 20
Garlic - Big (Hills) (1 Kg) : ,120.00,2018-06- 20
Garlic - Small (Country) (1 Kg) : ,110.00,2018-06- 20
Ginger (1 Kg) : ,120.00,2018-06- 20
Green Peas (1 Kg) : ,60.00,2018-06- 20
Green Chilli (1 Kg) : ,40.00,2018-06- 20
Karunai Kizhangu (1 Kg) : ,49.00,2018-06- 20
Kovakkai (1 Kg) : ,25.00,2018-06- 20
Ladies Fingers (1 Kg) : ,15.00,2018-06- 20
Mango - Raw (1 Kg) : ,35.00,2018-06- 20
Maravalli Kizhangu (1 Kg) : ,39.00,2018-06- 20
Noolkol (1 Kg) : ,25.00,2018-06- 20
Onion - Big (1 Kg) : ,18.00,2018-06- 20
Onion - Small (1 Kg) : ,55.00,2018-06- 20
Onion - White (1 Kg) : ,40.00,2018-06- 20
Peerkankkai (1 Kg) : ,06.00,2018-06- 20
Potato (1 Kg) : ,22.00,2018-06- 20
Potatoes - Baby (1 Kg) : ,59.00,2018-06- 20
Radish (1 Kg) : ,25.00,2018-06- 20
Senaikizhangu (1 Kg) : ,30.00,2018-06- 20
Seppankizhangu (1 Kg) : ,35.00,2018-06- 20
Snake Gourd (1 Kg) : ,12.00,2018-06- 20
Bottle Guard (1 Kg) : ,05.00,2018-06- 20
Tomato - Bangalore (1 Kg) : ,20.00,2018-06- 20
Tomato - Local (1 Kg) : ,22.00,2018-06- 20
Vazhai Poo (1 Piece) : ,20.00,2018-06- 20
Vazhai Thandu (1 Piece) : ,15.00,2018-06- 20
Yellow Pumpkin (1 Kg) : ,05.00,2018-06- 20
